Transaction_ID,Date,Department,Vendor_Name,Employee_ID,Amount_INR,Payment_Method,Invoice_Number,Approval_Status,Risk_Category,Audit_Flag,Location,Expense_Type,Duplicate_Transaction,Late_Payment,Outside_Business_Hours
TXN00057,2024-02-20 06:40:00,HR,Cipla Ltd,EMP1339,45187.8,Bank Transfer,INV678805,Approved,Low,No,Ahmedabad,Equipment,No,Yes,Yes
TXN00689,2024-10-21 03:43:00,HR,ITC Ltd,EMP1487,491436.77,Credit Card,INV276394,Rejected,Low,Yes,Ahmedabad,Salary,No,No,Yes
TXN00028,2024-07-30 00:11:00,Sales,Nestle India,EMP1411,336604.03,Credit Card,INV360222,Approved,Medium,Yes,Mumbai,Infrastructure,No,No,Yes
TXN00772,2024-11-15 17:06:00,Procurement,Colgate,EMP1298,403905.97,Credit Card,INV993077,Approved,Low,No,Kolkata,Travel,No,No,No
TXN00367,2024-08-12 23:00:00,HR,Reliance Industries,EMP1078,12288.8,Bank Transfer,INV540656,Approved,Medium,No,Ahmedabad,Software,No,No,Yes
TXN00685,2024-09-10 09:45:00,Procurement,HCL Tech,EMP1415,169906.55,Cheque,INV320843,Pending,High,Yes,Chennai,Software,No,No,No
TXN00554,2024-02-24 10:09:00,Finance,Reliance Industries,EMP1236,416196.12,Credit Card,INV576111,Approved,Low,No,Pune,Travel,No,No,Yes
TXN00237,2024-06-18 03:02:00,Procurement,HCL Tech,EMP1087,462445.2,Bank Transfer,INV859620,Approved,Low,No,Bangalore,Equipment,No,No,Yes
TXN00663,2024-07-10 15:25:00,Procurement,HUL,EMP1497,372386.02,Bank Transfer,INV422763,Approved,Low,No,Mumbai,Travel,No,No,No
TXN00696,2024-09-16 09:23:00,IT,Tata Motors,EMP1217,488666.03,Credit Card,INV360400,Approved,High,Yes,Hyderabad,Software,No,No,No
TXN00559,2024-03-20 15:33:00,IT,Reliance Industries,EMP1149,236768.49,Bank Transfer,INV940480,Approved,Low,Yes,Hyderabad,Infrastructure,No,No,No
TXN00628,2024-12-21 15:45:00,Procurement,Emami Ltd,EMP1138,292687.41,Credit Card,INV929029,Approved,Low,No,Chennai,Miscellaneous,No,No,Yes
TXN00228,2024-11-14 07:29:00,Sales,3M India,EMP1498,249213.53,Credit Card,INV304915,Approved,Low,No,Bangalore,Travel,No,No,Yes
TXN00279,2024-01-24 09:18:00,Procurement,Bosch India,EMP1306,264438.23,Bank Transfer,INV820141,Rejected,Low,Yes,Ahmedabad,Equipment,No,No,No
TXN00978,2024-12-10 23:57:00,HR,3M India,EMP1370,758225.73,UPI,INV114859,Pending,High,Yes,Kolkata,Miscellaneous,No,Yes,Yes
TXN00500,2024-10-24 15:36:00,Procurement,Cipla Ltd,EMP1322,344526.85,UPI,INV958029,Approved,Low,No,Hyderabad,Salary,No,No,No
TXN00612,2024-06-08 02:40:00,Finance,TCS,EMP1246,218814.73,Cash,INV935946,Approved,Low,No,Delhi,Miscellaneous,No,No,Yes
TXN00398,2024-07-20 21:08:00,Finance,ITC Ltd,EMP1267,480499.82,Credit Card,INV755910,Approved,Low,No,Kolkata,Equipment,No,No,Yes
TXN00011,2024-10-03 16:58:00,Finance,Johnson Controls,EMP1166,246859.83,Bank Transfer,INV480612,Pending,Medium,No,Mumbai,Salary,No,No,No
TXN00122,2024-04-03 04:04:00,Procurement,Wipro Technologies,EMP1151,104787.54,Credit Card,INV143941,Approved,Low,No,Ahmedabad,Equipment,No,Yes,Yes
TXN00396,2024-10-14 22:01:00,Finance,Dr Reddy Labs,EMP1473,267060.61,Bank Transfer,INV512509,Approved,Low,No,Pune,Software,No,No,Yes
TXN00992,2024-08-06 03:36:00,IT,TCS,EMP1084,434153.26,Bank Transfer,INV725843,Pending,High,Yes,Chennai,Consulting,No,Yes,Yes
TXN00594,2024-09-29 05:01:00,Sales,Bajaj Auto,EMP1126,415696.82,Cheque,INV707705,Approved,Medium,No,Kolkata,Consulting,No,Yes,Yes
TXN00861,2024-03-11 11:56:00,Sales,Colgate,EMP1341,9188932.19,Bank Transfer,INV190181,Pending,High,Yes,Bangalore,Software,No,Yes,Yes
TXN00173,2024-08-28 10:58:00,HR,Godrej Industries,EMP1161,209895.43,Credit Card,INV332022,Approved,Low,No,Kolkata,Equipment,No,No,No
TXN00235,2024-08-19 17:47:00,IT,Dr Reddy Labs,EMP1049,233711.41,Cheque,INV246583,Approved,Low,No,Chennai,Salary,No,No,No
TXN00643,2024-11-12 23:27:00,Procurement,ITC Ltd,EMP1467,331244.62,Credit Card,INV200174,Approved,High,Yes,Chennai,Infrastructure,No,No,Yes
TXN00759,2024-12-14 04:28:00,Sales,Colgate,EMP1433,314192.8,Bank Transfer,INV187546,Approved,Low,No,Mumbai,Consulting,No,No,Yes
TXN00834,2024-05-05 18:47:00,Procurement,Tata Motors,EMP1419,103850.38,Credit Card,INV362147,Approved,High,Yes,Delhi,Software,Yes,No,Yes
TXN00309,2024-07-03 09:13:00,IT,Bosch India,EMP1244,498332.39,Cheque,INV780840,Approved,Medium,No,Chennai,Travel,No,No,No
TXN00821,2024-06-04 23:21:00,Sales,TCS,EMP1493,107543.27,Bank Transfer,INV960556,Approved,High,Yes,Bangalore,Consulting,Yes,No,Yes
TXN00951,2024-12-01 03:30:00,Sales,Britannia,EMP1048,216689.72,Bank Transfer,INV688247,Approved,High,Yes,Hyderabad,Software,No,Yes,Yes
TXN00459,2024-07-15 22:52:00,Procurement,ICICI Bank,EMP1291,269975.52,UPI,INV449636,Approved,Low,No,Delhi,Equipment,No,No,Yes
TXN00314,2024-01-24 22:54:00,Finance,Havells India,EMP1476,253904.29,Bank Transfer,INV819195,Approved,Low,No,Ahmedabad,Miscellaneous,No,No,Yes
TXN00061,2024-10-21 18:01:00,Sales,Honeywell Automation,EMP1021,382738.96,Bank Transfer,INV644173,Approved,High,Yes,Bangalore,Consulting,No,No,Yes
TXN00306,2024-03-29 23:32:00,Finance,ITC Ltd,EMP1021,217111.37,Credit Card,INV236384,Approved,Medium,Yes,Ahmedabad,Software,No,No,Yes
TXN00215,2024-03-09 20:43:00,HR,Tech Mahindra,EMP1272,283829.15,Credit Card,INV272088,Approved,Medium,No,Bangalore,Miscellaneous,No,No,Yes
TXN00949,2024-03-08 23:56:00,Sales,Reliance Industries,EMP1040,249751.83,Cheque,INV121133,Pending,Medium,Yes,Bangalore,Travel,No,No,No
TXN00959,2024-08-05 23:10:00,IT,Jyothy Labs,EMP1072,611745.07,UPI,INV538459,Pending,High,Yes,Hyderabad,Travel,No,Yes,Yes
TXN00597,2024-06-14 08:24:00,Finance,HCL Tech,EMP1104,123613.37,Credit Card,INV347978,Approved,Medium,No,Delhi,Equipment,No,Yes,Yes
TXN00054,2024-01-28 17:18:00,HR,Eaton India,EMP1445,377632.13,Bank Transfer,INV112861,Approved,Low,No,Bangalore,Travel,No,No,Yes
TXN00496,2024-08-14 09:10:00,Procurement,Nestle India,EMP1072,418578.21,Credit Card,INV250616,Approved,Low,No,Pune,Travel,No,No,No
TXN00447,2024-11-05 05:58:00,IT,SBI,EMP1338,226093.32,Cheque,INV373943,Pending,Low,No,Mumbai,Equipment,No,No,Yes
TXN00365,2024-11-16 07:33:00,IT,Biocon,EMP1146,325986.24,Bank Transfer,INV381880,Approved,Medium,No,Hyderabad,Travel,No,No,Yes
TXN00358,2024-07-04 23:37:00,IT,Dabur India,EMP1212,87822.46,Cheque,INV231113,Approved,Medium,No,Delhi,Salary,No,No,Yes
TXN00877,2024-08-27 23:29:00,Sales,Infosys Ltd,EMP1082,4683107.47,Credit Card,INV627649,Approved,High,Yes,Kolkata,Consulting,No,Yes,Yes
TXN00568,2024-09-27 00:27:00,IT,Berger Paints,EMP1284,36437.73,Cheque,INV537400,Pending,Low,No,Pune,Miscellaneous,No,No,Yes
TXN00014,2024-10-28 07:00:00,Finance,Eaton India,EMP1031,118326.18,Cheque,INV446479,Approved,Low,No,Chennai,Consulting,No,No,Yes
TXN00512,2024-01-21 02:20:00,Procurement,ICICI Bank,EMP1198,145387.66,Credit Card,INV427162,Approved,Medium,No,Kolkata,Equipment,No,No,Yes
TXN00825,2024-07-05 14:00:00,HR,Pidilite Industries,EMP1434,279479.95,Bank Transfer,INV122536,Approved,High,Yes,Bangalore,Miscellaneous,Yes,No,Yes
TXN00791,2024-07-25 01:57:00,IT,Bosch India,EMP1021,172007.99,Cash,INV592718,Approved,Medium,No,Hyderabad,Equipment,No,No,Yes
TXN00220,2024-01-08 08:13:00,Finance,HCL Tech,EMP1486,395698.55,Bank Transfer,INV759104,Approved,Medium,No,Kolkata,Travel,No,No,Yes
TXN00263,2024-08-14 10:17:00,Procurement,Johnson Controls,EMP1331,49196.99,Bank Transfer,INV963994,Approved,Low,No,Pune,Infrastructure,No,Yes,No
TXN00424,2024-03-30 03:23:00,Finance,L&T Construction,EMP1468,50839.04,Bank Transfer,INV937838,Approved,Low,No,Ahmedabad,Software,No,No,Yes
TXN00544,2024-05-16 09:47:00,Procurement,ITC Ltd,EMP1067,218497.75,Bank Transfer,INV326037,Rejected,Low,Yes,Chennai,Miscellaneous,No,No,No
TXN00558,2024-08-04 02:48:00,Procurement,Godrej Industries,EMP1315,97246.14,Credit Card,INV197462,Approved,Low,No,Chennai,Software,No,No,Yes
TXN00427,2024-06-13 06:12:00,Sales,Biocon,EMP1273,162979.15,Bank Transfer,INV223365,Approved,Low,Yes,Delhi,Salary,No,No,Yes
TXN00869,2024-10-31 03:52:00,Sales,Honeywell Automation,EMP1247,7179446.77,Credit Card,INV227341,Pending,High,Yes,Mumbai,Software,No,Yes,Yes
TXN00501,2024-03-15 10:29:00,HR,Havells India,EMP1084,31179.72,Bank Transfer,INV767153,Rejected,Low,Yes,Hyderabad,Equipment,No,No,No
TXN00240,2024-09-05 11:58:00,IT,Colgate,EMP1165,197248.73,Bank Transfer,INV434367,Approved,Low,No,Hyderabad,Travel,No,No,No
TXN00172,2024-04-14 12:58:00,HR,ABB India,EMP1165,388879.37,Bank Transfer,INV659572,Approved,Low,No,Ahmedabad,Miscellaneous,No,No,Yes
TXN00045,2024-07-07 05:38:00,IT,ICICI Bank,EMP1399,410554.08,UPI,INV213349,Approved,High,Yes,Kolkata,Miscellaneous,No,No,Yes
TXN00070,2024-10-29 10:55:00,Finance,Dabur India,EMP1052,265345.79,Bank Transfer,INV857537,Approved,Medium,No,Delhi,Miscellaneous,No,No,No
TXN00457,2024-01-18 02:04:00,IT,Cipla Ltd,EMP1398,225711.62,Cheque,INV256085,Approved,Low,Yes,Kolkata,Equipment,No,No,Yes
TXN00290,2024-09-22 16:44:00,IT,HDFC Bank,EMP1222,332548.07,Bank Transfer,INV462544,Approved,Medium,Yes,Mumbai,Travel,No,No,Yes
TXN00078,2024-06-07 14:02:00,IT,Godrej Industries,EMP1375,70048.84,Cheque,INV442589,Approved,Low,Yes,Pune,Consulting,No,No,No
TXN00847,2024-08-20 18:50:00,Procurement,ITC Ltd,EMP1011,59467.58,Cash,INV970860,Approved,High,Yes,Delhi,Equipment,Yes,No,Yes
TXN00604,2024-07-30 17:57:00,Procurement,HUL,EMP1276,45168.65,Cheque,INV782902,Approved,Low,No,Ahmedabad,Software,No,No,No
TXN00536,2024-12-09 07:16:00,IT,ITC Ltd,EMP1159,321279.78,Credit Card,INV951706,Approved,Low,No,Ahmedabad,Miscellaneous,No,Yes,Yes
TXN00438,2024-09-18 12:54:00,HR,Aurobindo Pharma,EMP1032,187765.33,Bank Transfer,INV155708,Approved,Low,No,Delhi,Infrastructure,No,No,No
TXN00858,2024-09-07 09:00:00,Finance,HUL,EMP1264,376152.18,Credit Card,INV486999,Approved,High,Yes,Delhi,Software,Yes,No,Yes
TXN00747,2024-08-28 23:08:00,IT,Asian Paints,EMP1241,208703.63,Bank Transfer,INV919354,Approved,Low,Yes,Mumbai,Software,No,Yes,Yes
TXN00969,2024-08-29 22:19:00,Finance,Dr Reddy Labs,EMP1287,344935.0,Bank Transfer,INV840551,Pending,High,Yes,Hyderabad,Infrastructure,No,Yes,Yes
TXN00587,2024-09-07 23:26:00,HR,SBI,EMP1259,67926.37,Credit Card,INV235670,Rejected,Low,Yes,Delhi,Software,No,No,Yes
TXN00168,2024-10-11 15:03:00,Sales,ITC Ltd,EMP1403,264609.21,Credit Card,INV528090,Approved,Low,No,Ahmedabad,Salary,No,No,No
TXN00362,2024-09-30 09:58:00,Sales,Emami Ltd,EMP1277,117428.58,Bank Transfer,INV422823,Approved,Low,No,Mumbai,Consulting,No,No,No
TXN00046,2024-04-11 02:37:00,HR,HDFC Bank,EMP1357,387378.04,Cheque,INV729577,Pending,Medium,No,Mumbai,Equipment,No,No,Yes
TXN00204,2024-04-25 17:18:00,HR,Marico Ltd,EMP1290,372546.53,Credit Card,INV676429,Approved,Low,No,Pune,Consulting,No,No,No
TXN00287,2024-07-23 14:17:00,Procurement,Emami Ltd,EMP1410,213761.21,Cheque,INV274880,Approved,Medium,Yes,Bangalore,Travel,No,No,No
TXN00879,2024-12-03 09:59:00,Procurement,Tech Mahindra,EMP1470,8294941.19,Bank Transfer,INV594668,Pending,High,Yes,Bangalore,Consulting,No,Yes,Yes
TXN00153,2024-01-20 05:26:00,HR,Wipro Technologies,EMP1429,201512.31,Bank Transfer,INV885386,Rejected,High,Yes,Mumbai,Travel,No,No,Yes
TXN00252,2024-11-10 15:45:00,Finance,Britannia,EMP1483,328549.41,Credit Card,INV555292,Approved,Low,No,Chennai,Miscellaneous,No,No,Yes
TXN00069,2024-07-29 01:20:00,Procurement,ITC Ltd,EMP1198,494264.93,Credit Card,INV783691,Rejected,Low,Yes,Mumbai,Salary,No,No,Yes
TXN00806,2024-03-28 10:43:00,IT,Infosys Ltd,EMP1378,353292.85,Cheque,INV676289,Approved,High,Yes,Pune,Equipment,Yes,No,Yes
TXN00557,2024-08-09 23:51:00,Sales,Johnson Controls,EMP1068,182726.91,Bank Transfer,INV485306,Approved,Low,No,Ahmedabad,Equipment,No,No,Yes
TXN00509,2024-09-13 23:39:00,HR,Colgate,EMP1292,38826.83,Cheque,INV900319,Approved,Low,No,Hyderabad,Salary,No,No,Yes
TXN00179,2024-12-16 02:41:00,Finance,Reliance Industries,EMP1208,192735.69,Credit Card,INV158840,Approved,Medium,Yes,Kolkata,Software,No,No,Yes
TXN00480,2024-07-08 20:29:00,Finance,Eaton India,EMP1037,195515.24,Credit Card,INV656710,Approved,Low,No,Chennai,Infrastructure,No,No,Yes
TXN00357,2024-07-26 02:05:00,HR,Pidilite Industries,EMP1117,160173.62,Credit Card,INV844943,Approved,Medium,No,Ahmedabad,Infrastructure,No,No,Yes
TXN00904,2024-09-10 00:55:00,Procurement,ITC Ltd,EMP1228,209960.99,Bank Transfer,INV497753,Pending,Medium,Yes,Kolkata,Consulting,No,Yes,No
TXN00886,2024-07-27 18:34:00,Finance,Pidilite Industries,EMP1095,7117709.04,Cheque,INV863660,Pending,High,Yes,Ahmedabad,Salary,No,Yes,Yes
TXN00968,2024-03-25 00:55:00,Sales,Tech Mahindra,EMP1459,777381.55,Cash,INV636561,Pending,High,Yes,Kolkata,Software,No,Yes,Yes
TXN00002,2024-09-15 19:01:00,IT,L&T Construction,EMP1367,326692.8,Bank Transfer,INV331148,Approved,Low,No,Bangalore,Software,No,No,Yes
TXN00899,2024-03-07 19:25:00,Procurement,ICICI Bank,EMP1337,2576028.75,Bank Transfer,INV670054,Approved,High,Yes,Pune,Infrastructure,No,Yes,Yes
TXN00928,2024-12-11 20:29:00,Procurement,Berger Paints,EMP1225,388575.05,UPI,INV392866,Pending,High,Yes,Delhi,Salary,No,No,No
TXN00316,2024-11-27 11:00:00,IT,ABB India,EMP1073,66001.4,Cash,INV725637,Approved,Low,Yes,Chennai,Software,No,No,No
TXN00844,2024-04-07 01:37:00,Sales,Berger Paints,EMP1232,139618.16,Bank Transfer,INV312559,Approved,High,Yes,Delhi,Salary,Yes,No,Yes
TXN00377,2024-12-03 02:02:00,HR,Mahindra & Mahindra,EMP1448,20480.51,Bank Transfer,INV300924,Approved,Low,No,Ahmedabad,Consulting,No,No,Yes
TXN00397,2024-09-13 08:51:00,Finance,Eaton India,EMP1132,439945.25,Cheque,INV954441,Rejected,High,Yes,Hyderabad,Salary,No,No,Yes
TXN00441,2024-07-31 14:57:00,IT,Britannia,EMP1320,93999.7,Bank Transfer,INV678866,Pending,Low,No,Kolkata,Consulting,No,Yes,No
TXN00281,2024-05-10 17:39:00,Finance,Johnson Controls,EMP1025,332675.11,Credit Card,INV120700,Approved,Low,No,Delhi,Consulting,No,No,No
TXN00883,2024-02-07 14:48:00,Sales,Johnson Controls,EMP1324,8305095.16,Cheque,INV436759,Approved,High,Yes,Ahmedabad,Miscellaneous,No,Yes,Yes
TXN00938,2024-09-21 23:47:00,HR,Infosys Ltd,EMP1223,240802.71,UPI,INV740907,Pending,Medium,Yes,Bangalore,Travel,No,No,No
TXN00773,2024-08-28 03:22:00,Procurement,Nestle India,EMP1465,411106.9,Credit Card,INV877155,Approved,High,Yes,Chennai,Consulting,No,No,Yes
TXN00105,2024-05-26 02:41:00,Finance,Schneider Electric,EMP1305,255998.57,Bank Transfer,INV681242,Rejected,Medium,Yes,Mumbai,Miscellaneous,No,No,Yes
TXN00225,2024-02-22 18:43:00,Finance,Sun Pharma,EMP1380,256868.32,Cash,INV112884,Approved,Low,No,Bangalore,Salary,No,No,Yes
TXN00089,2024-12-17 03:31:00,Procurement,Tech Mahindra,EMP1461,44991.29,Credit Card,INV168872,Approved,Medium,No,Pune,Miscellaneous,No,No,Yes
TXN00906,2024-01-15 10:46:00,IT,Britannia,EMP1444,727191.41,Cash,INV946616,Pending,Medium,Yes,Kolkata,Software,No,No,No
TXN00675,2024-12-17 21:55:00,Procurement,Colgate,EMP1212,331813.06,Cash,INV769068,Rejected,Medium,Yes,Mumbai,Software,No,No,Yes
TXN00840,2024-08-18 16:11:00,HR,ICICI Bank,EMP1434,265515.96,Bank Transfer,INV176054,Approved,High,Yes,Kolkata,Consulting,Yes,No,Yes
TXN00044,2024-11-29 01:48:00,Finance,Dr Reddy Labs,EMP1103,420418.28,Credit Card,INV350132,Approved,Medium,No,Chennai,Miscellaneous,No,No,Yes
TXN00074,2024-09-11 18:09:00,HR,Marico Ltd,EMP1327,130718.78,Bank Transfer,INV109853,Pending,Low,No,Bangalore,Travel,No,No,Yes
TXN00708,2024-09-30 23:22:00,HR,Bosch India,EMP1351,306550.84,Credit Card,INV276718,Approved,Medium,No,Chennai,Salary,No,Yes,Yes
TXN00206,2024-02-14 14:55:00,Finance,Dr Reddy Labs,EMP1108,406297.84,Credit Card,INV467663,Pending,Medium,No,Bangalore,Infrastructure,No,No,No
TXN00734,2024-01-07 19:06:00,Procurement,ITC Ltd,EMP1011,59467.58,Cash,INV970860,Approved,Low,No,Delhi,Equipment,No,No,Yes
TXN00999,2024-11-26 03:08:00,HR,Wipro Technologies,EMP1109,276453.44,Cash,INV456082,Pending,High,Yes,Bangalore,Miscellaneous,No,Yes,Yes
TXN00211,2024-03-07 18:54:00,Procurement,Pidilite Industries,EMP1458,342863.2,Cash,INV204411,Approved,Medium,Yes,Bangalore,Miscellaneous,No,No,Yes
TXN00491,2024-07-26 15:49:00,HR,Marico Ltd,EMP1476,163507.88,Cash,INV874368,Approved,Low,No,Hyderabad,Miscellaneous,No,No,No
TXN00914,2024-05-01 06:20:00,IT,Godrej Industries,EMP1425,1260635.47,Cheque,INV174861,Pending,High,Yes,Hyderabad,Salary,No,Yes,No
TXN00329,2024-02-28 15:43:00,Procurement,Emami Ltd,EMP1108,297441.49,Credit Card,INV530859,Approved,Low,No,Bangalore,Salary,No,No,No
TXN00774,2024-12-03 08:19:00,Procurement,Dr Reddy Labs,EMP1003,450592.69,Bank Transfer,INV116284,Approved,Medium,No,Pune,Equipment,No,No,Yes
TXN00285,2024-02-21 08:41:00,HR,Marico Ltd,EMP1152,135741.89,Bank Transfer,INV952679,Approved,Low,No,Pune,Miscellaneous,No,No,Yes
TXN00375,2024-08-18 09:52:00,Sales,Siemens India,EMP1188,229769.09,Credit Card,INV630535,Approved,Low,Yes,Pune,Infrastructure,No,No,Yes
TXN00239,2024-03-11 13:12:00,IT,Dr Reddy Labs,EMP1323,497073.2,Bank Transfer,INV120478,Rejected,Medium,Yes,Pune,Miscellaneous,No,No,No
TXN00552,2024-04-14 09:11:00,HR,Colgate,EMP1422,140031.82,Cheque,INV714127,Approved,High,Yes,Mumbai,Consulting,No,No,Yes
TXN00606,2024-05-23 21:58:00,Sales,L&T Construction,EMP1047,409059.01,Credit Card,INV947684,Approved,Low,No,Pune,Travel,No,No,Yes
TXN00508,2024-03-04 19:13:00,IT,L&T Construction,EMP1095,336947.32,Cash,INV252627,Pending,High,Yes,Pune,Equipment,No,No,Yes
TXN00422,2024-04-16 18:43:00,Sales,Havells India,EMP1034,484958.58,Bank Transfer,INV132687,Approved,Low,No,Bangalore,Consulting,No,No,Yes
TXN00505,2024-01-09 15:22:00,Sales,Godrej Industries,EMP1072,409434.16,Cheque,INV726680,Approved,High,Yes,Bangalore,Software,No,No,No
TXN00563,2024-03-28 20:30:00,Procurement,HUL,EMP1445,330569.96,Credit Card,INV861173,Approved,Medium,No,Pune,Software,No,No,Yes
TXN00871,2024-01-04 15:39:00,HR,ICICI Bank,EMP1035,2000267.84,Bank Transfer,INV226913,Pending,High,Yes,Chennai,Salary,No,Yes,Yes
TXN00440,2024-07-03 13:09:00,Sales,Axis Bank,EMP1069,10743.36,Credit Card,INV250990,Approved,Low,No,Bangalore,Travel,No,No,No
TXN00794,2024-01-03 22:55:00,Finance,Cipla Ltd,EMP1453,393547.3,Bank Transfer,INV419071,Approved,Low,No,Kolkata,Equipment,No,No,Yes
TXN00522,2024-12-04 07:15:00,HR,Asian Paints,EMP1304,47046.16,Credit Card,INV419723,Approved,Low,No,Mumbai,Miscellaneous,No,No,Yes
TXN00193,2024-07-03 22:57:00,IT,Johnson Controls,EMP1327,457628.62,Bank Transfer,INV360289,Approved,Low,No,Mumbai,Consulting,No,No,Yes
TXN00148,2024-06-30 21:49:00,Sales,Schneider Electric,EMP1248,100170.76,Bank Transfer,INV685196,Approved,High,Yes,Hyderabad,Infrastructure,No,No,Yes
TXN00918,2024-10-16 16:36:00,IT,Nestle India,EMP1276,1139611.64,UPI,INV936979,Pending,Medium,Yes,Ahmedabad,Software,No,No,No
TXN00430,2024-04-11 22:48:00,IT,Reliance Industries,EMP1499,461778.08,Credit Card,INV695370,Approved,Medium,No,Ahmedabad,Travel,No,No,Yes
TXN00360,2024-07-18 09:14:00,HR,Aurobindo Pharma,EMP1227,315107.94,Bank Transfer,INV979249,Approved,Low,No,Pune,Infrastructure,No,No,No
TXN00449,2024-02-29 01:10:00,Procurement,HUL,EMP1244,154176.73,Credit Card,INV888977,Rejected,Low,Yes,Kolkata,Miscellaneous,No,No,Yes
TXN00881,2024-01-24 00:54:00,HR,Sun Pharma,EMP1050,6989457.29,Bank Transfer,INV812321,Pending,High,Yes,Chennai,Infrastructure,No,Yes,Yes
TXN00009,2024-08-27 16:16:00,IT,Infosys Ltd,EMP1349,361757.3,Credit Card,INV663054,Pending,Medium,No,Hyderabad,Miscellaneous,No,No,No
TXN00112,2024-03-24 05:53:00,IT,Tata Motors,EMP1370,221648.34,Bank Transfer,INV809217,Approved,High,Yes,Hyderabad,Infrastructure,No,No,Yes
TXN00145,2024-08-01 18:19:00,Finance,Johnson Controls,EMP1243,136437.57,Credit Card,INV913864,Approved,Low,Yes,Ahmedabad,Salary,No,No,Yes
TXN00418,2024-05-28 06:00:00,Finance,TCS,EMP1239,314603.07,Bank Transfer,INV989265,Approved,Medium,No,Mumbai,Equipment,No,No,Yes
TXN00096,2024-04-20 12:26:00,Procurement,Pidilite Industries,EMP1081,188176.28,Credit Card,INV914571,Rejected,Low,Yes,Mumbai,Salary,No,No,Yes
TXN00562,2024-11-15 08:21:00,HR,Bajaj Auto,EMP1095,43719.16,UPI,INV371914,Pending,Low,No,Mumbai,Miscellaneous,No,No,Yes
TXN00232,2024-07-20 22:53:00,Sales,Berger Paints,EMP1232,139618.16,Bank Transfer,INV312559,Approved,Medium,Yes,Delhi,Salary,No,No,Yes
TXN00497,2024-10-29 12:05:00,Finance,Nestle India,EMP1328,457633.2,Bank Transfer,INV682813,Approved,Low,No,Chennai,Salary,No,No,No
TXN00880,2024-12-28 16:49:00,IT,Cipla Ltd,EMP1067,7233265.29,Bank Transfer,INV708934,Approved,High,Yes,Kolkata,Travel,No,Yes,Yes
TXN00403,2024-09-08 15:08:00,HR,L&T Construction,EMP1116,20953.63,Credit Card,INV115743,Rejected,High,Yes,Chennai,Software,No,No,Yes
TXN00704,2024-01-05 21:32:00,HR,Axis Bank,EMP1074,192506.33,Credit Card,INV155432,Rejected,Medium,Yes,Pune,Software,No,No,Yes
TXN00345,2024-10-27 00:30:00,Finance,Cipla Ltd,EMP1035,194423.26,Credit Card,INV331087,Approved,Low,No,Pune,Consulting,No,No,Yes
TXN00656,2024-11-02 14:47:00,Sales,Axis Bank,EMP1143,162181.64,Credit Card,INV141531,Approved,High,Yes,Hyderabad,Infrastructure,No,Yes,Yes
TXN00811,2024-03-31 08:56:00,Sales,Reliance Industries,EMP1224,423019.76,Bank Transfer,INV717476,Approved,High,Yes,Pune,Salary,Yes,No,No
